trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
476,False,"{'a': 0.28200000000000003, 'e': 0.2397880190253247}",25,0,-1.9343528178777378,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
477,False,"{'a': 0.2815, 'e': 0.23906973293609704}",20,8,22.23224839040729,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.281, 'e': 0.23835359847607956}",20,12,12.524746500854532,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.28049999999999997, 'e': 0.2376396092000572}",30,8,21.55064380120888,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
480,False,"{'a': 0.28, 'e': 0.23692775868212176}",35,15,35.61591797889896,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.2795, 'e': 0.23621804051561368}",20,0,-43.70745656099976,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
482,False,"{'a': 0.279, 'e': 0.23551044831306475}",25,0,22.7896241101085,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
483,False,"{'a': 0.2785, 'e': 0.2348049757061403}",25,19,12.642513132026487,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.278, 'e': 0.2341016163455822}",20,7,19.615399796068147,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.2775, 'e': 0.23340036390115132}",25,18,12.004910914453255,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.277, 'e': 0.23270121206157107}",25,18,13.989989071964654,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.2765, 'e': 0.23200415453447004}",20,6,14.206902875013302,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.276, 'e': 0.23130918504632592}",20,6,-7.916346792022888,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
489,False,"{'a': 0.2755, 'e': 0.2306162973424085}",30,0,-45.995863604012314,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
490,False,"{'a': 0.275, 'e': 0.22992548518672384}",25,16,18.638651396029985,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.2745, 'e': 0.22923674236195785}",25,14,7.8079928156105485,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
492,False,"{'a': 0.274, 'e': 0.2285500626694205}",20,13,-9.011223234784751,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
493,False,"{'a': 0.2735, 'e': 0.22786543992898983}",20,10,7.975243866315873,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
494,False,"{'a': 0.273, 'e': 0.22718286797905665}",30,0,-16.959053633226375,"{0: 26, 1: 3, 2: 0, 3: 0, 4: 1}",0
495,False,"{'a': 0.2725, 'e': 0.22650234067646874}",20,9,-41.88957901140984,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
496,False,"{'a': 0.272, 'e': 0.22582385189647586}",35,24,18.091309823456314,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.2715, 'e': 0.22514739553267432}",25,0,24.52804654041217,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
498,False,"{'a': 0.271, 'e': 0.22447296549695234}",35,14,28.754674128579484,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
499,False,"{'a': 0.2705, 'e': 0.223800555719435}",20,0,-7.393295986877982,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
500,False,"{'a': 0.27, 'e': 0.22313016014842982}",20,13,10.1778939925722,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.2695, 'e': 0.22246177275037207}",20,0,30.16509750107957,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
502,False,"{'a': 0.269, 'e': 0.22179538750977074}",20,10,15.953326687538198,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.2685, 'e': 0.22113099842915407}",35,21,-0.5014743968744788,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
504,False,"{'a': 0.268, 'e': 0.22046859952901593}",25,16,15.30138435322836,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
