trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,True,"{'a': 0, 'e': 0}",25,0,30.588456594682494,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
60,True,"{'a': 0, 'e': 0}",25,15,20.447334693546146,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0, 'e': 0}",35,21,23.68121894712735,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'a': 0, 'e': 0}",20,11,17.92760744819066,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,True,"{'a': 0, 'e': 0}",20,8,22.647021777913455,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0, 'e': 0}",20,15,8.535119943520208,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0, 'e': 0}",25,12,22.173612182338303,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0, 'e': 0}",20,0,35.003327010154635,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,True,"{'a': 0, 'e': 0}",25,8,27.52755832502211,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0, 'e': 0}",25,3,30.235774681575585,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0, 'e': 0}",25,19,11.538901544132779,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0, 'e': 0}",25,0,39.82598165252065,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,True,"{'a': 0, 'e': 0}",25,0,41.15437433721179,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,True,"{'a': 0, 'e': 0}",20,0,-63.1230556362972,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
73,True,"{'a': 0, 'e': 0}",20,4,8.305622985276504,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0, 'e': 0}",25,13,3.303766487112567,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
75,True,"{'a': 0, 'e': 0}",25,0,39.109305894045356,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,True,"{'a': 0, 'e': 0}",20,11,-24.24910966185858,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,True,"{'a': 0, 'e': 0}",20,1,35.30892272698844,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0, 'e': 0}",20,0,24.970935930396493,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
